date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:49	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2029%20Dec%202019%2017:18:48%20GMT	http://rs-resume-template.webflow.io/robots.txt		(from )
18:18:50	15035/15035	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Dec%202019%2017:18:48%20GMT	http://rs-resume-template.webflow.io/	C:/My%20Web%20Sites/cv%20portfoli/rs-resume-template.webflow.io/index.html	(from )
18:18:50	51142/51142	---M-Z	200	added ('OK')	text/css	etag:%229d27c1fd4b4eee0a27b6d49195f3a1d7%22	https://assets.website-files.com/5772807aa9eb66b44fbfd286/css/rs-resume-template.webflow.3ce42d9f8.css	C:/My%20Web%20Sites/cv%20portfoli/assets.website-files.com/5772807aa9eb66b44fbfd286/css/rs-resume-template.webflow.3ce42d9f8.css	(from http://rs-resume-template.webflow.io/)
18:18:51	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/cv%20portfoli/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from http://rs-resume-template.webflow.io/)
18:18:51	1880/1880	---M--	200	added ('OK')	image/png	etag:%2208a48723ca19a2c7207300bde517e009%22	https://assets.website-files.com/5772807aa9eb66b44fbfd286/5779194c280cf6ac33392a5e_fav-phone.png	C:/My%20Web%20Sites/cv%20portfoli/assets.website-files.com/5772807aa9eb66b44fbfd286/5779194c280cf6ac33392a5e_fav-phone.png	(from http://rs-resume-template.webflow.io/)
18:18:51	8878/8878	---M--	200	added ('OK')	image/png	etag:%222e6c9f07ac1a879e622dc9d8c7d49de3%22	https://assets.website-files.com/5772807aa9eb66b44fbfd286/57791952280cf6ac33392a90_ico-phone.png	C:/My%20Web%20Sites/cv%20portfoli/assets.website-files.com/5772807aa9eb66b44fbfd286/57791952280cf6ac33392a90_ico-phone.png	(from http://rs-resume-template.webflow.io/)
18:18:52	23587/23587	---M--	200	added ('OK')	image/gif	etag:%223277e0b4dc8503083aa9988cac58e86d%22	https://assets.website-files.com/5772807aa9eb66b44fbfd286/57745231d68439334aea994d_logo.gif	C:/My%20Web%20Sites/cv%20portfoli/assets.website-files.com/5772807aa9eb66b44fbfd286/57745231d68439334aea994d_logo.gif	(from http://rs-resume-template.webflow.io/)
18:18:53	15718/15718	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Dec%202019%2017:18:51%20GMT	http://rs-resume-template.webflow.io/portfolio	C:/My%20Web%20Sites/cv%20portfoli/rs-resume-template.webflow.io/portfolio.html	(from http://rs-resume-template.webflow.io/)
18:18:54	7934/7934	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Dec%202019%2017:18:52%20GMT	http://rs-resume-template.webflow.io/blog	C:/My%20Web%20Sites/cv%20portfoli/rs-resume-template.webflow.io/blog.html	(from http://rs-resume-template.webflow.io/)
18:18:54	7624/7624	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Dec%202019%2017:18:53%20GMT	http://rs-resume-template.webflow.io/contact	C:/My%20Web%20Sites/cv%20portfoli/rs-resume-template.webflow.io/contact.html	(from http://rs-resume-template.webflow.io/)
18:18:54	102538/102538	---M--	200	added ('OK')	image/jpeg	etag:%222b1da74a393aca9057297bad475e8d7d%22	https://assets.website-files.com/5772807aa9eb66b44fbfd286/5773f24cd4c2d3ca1d1a6365_profile.jpg	C:/My%20Web%20Sites/cv%20portfoli/assets.website-files.com/5772807aa9eb66b44fbfd286/5773f24cd4c2d3ca1d1a6365_profile.jpg	(from http://rs-resume-template.webflow.io/)
18:18:55	1016/1016	---M--	200	added ('OK')	image/png	etag:%2262b8ef276d3f0f94addd14e8e93c89c4%22	https://assets.website-files.com/5772807aa9eb66b44fbfd286/5df25ae7245d00f470b89bd8_5c992f5c9b4c11795352014c_webflow-w-small%402x.png	C:/My%20Web%20Sites/cv%20portfoli/assets.website-files.com/5772807aa9eb66b44fbfd286/5df25ae7245d00f470b89bd8_5c992f5c9b4c11795352014c_webflow-w-small@2x.png	(from http://rs-resume-template.webflow.io/)
18:18:56	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2029%20Dec%202019%2017:18:54%20GMT	http://rs-resume-template.webflow.io/template-info/licensing	C:/My%20Web%20Sites/cv%20portfoli/rs-resume-template.webflow.io/template-info/licensing	(from http://rs-resume-template.webflow.io/)
18:18:56	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2029%20Dec%202019%2017:18:55%20GMT	http://rs-resume-template.webflow.io/%22https://assets.website-files.com/577411fe2de39fb074c865c5/577416dac8d072ad1d613fd9_school-2.jpg%22	C:/My%20Web%20Sites/cv%20portfoli/rs-resume-template.webflow.io/_https_/assets.website-files.com/577411fe2de39fb074c865c5/577416dac8d072ad1d613fd9_school-2.jpg_	(from http://rs-resume-template.webflow.io/)
18:18:56	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2029%20Dec%202019%2017:18:55%20GMT	http://rs-resume-template.webflow.io/%22https://assets.website-files.com/577411fe2de39fb074c865c5/57741653c8d072ad1d613d82_school-3.jpg%22	C:/My%20Web%20Sites/cv%20portfoli/rs-resume-template.webflow.io/_https_/assets.website-files.com/577411fe2de39fb074c865c5/57741653c8d072ad1d613d82_school-3.jpg_	(from http://rs-resume-template.webflow.io/)
18:18:57	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2029%20Dec%202019%2017:18:55%20GMT	http://rs-resume-template.webflow.io/%22https://assets.website-files.com/577411fe2de39fb074c865c5/577413602de39fb074c86887_school-1.jpg%22	C:/My%20Web%20Sites/cv%20portfoli/rs-resume-template.webflow.io/_https_/assets.website-files.com/577411fe2de39fb074c865c5/577413602de39fb074c86887_school-1.jpg_	(from http://rs-resume-template.webflow.io/)
18:18:57	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2029%20Dec%202019%2017:18:56%20GMT	http://rs-resume-template.webflow.io/%22https://assets.website-files.com/577411fe2de39fb074c865c5/577419f62de39fb074c8850a_webflow-jobs.jpg%22	C:/My%20Web%20Sites/cv%20portfoli/rs-resume-template.webflow.io/_https_/assets.website-files.com/577411fe2de39fb074c865c5/577419f62de39fb074c8850a_webflow-jobs.jpg_	(from http://rs-resume-template.webflow.io/)
18:18:57	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2029%20Dec%202019%2017:18:56%20GMT	http://rs-resume-template.webflow.io/%22https://assets.website-files.com/577411fe2de39fb074c865c5/577419c2c8d072ad1d61445c_google-jobs.jpg%22	C:/My%20Web%20Sites/cv%20portfoli/rs-resume-template.webflow.io/_https_/assets.website-files.com/577411fe2de39fb074c865c5/577419c2c8d072ad1d61445c_google-jobs.jpg_	(from http://rs-resume-template.webflow.io/)
18:18:57	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2029%20Dec%202019%2017:18:56%20GMT	http://rs-resume-template.webflow.io/%22https://assets.website-files.com/577411fe2de39fb074c865c5/57741975d4c2d3ca1d1ac096_micro-jobs.jpg%22	C:/My%20Web%20Sites/cv%20portfoli/rs-resume-template.webflow.io/_https_/assets.website-files.com/577411fe2de39fb074c865c5/57741975d4c2d3ca1d1ac096_micro-jobs.jpg_	(from http://rs-resume-template.webflow.io/)
18:18:57	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2029%20Dec%202019%2017:18:56%20GMT	http://rs-resume-template.webflow.io/%22https://assets.website-files.com/577411fe2de39fb074c865c5/57741849b411727174e1455d_facebook-jobs.jpg%22	C:/My%20Web%20Sites/cv%20portfoli/rs-resume-template.webflow.io/_https_/assets.website-files.com/577411fe2de39fb074c865c5/57741849b411727174e1455d_facebook-jobs.jpg_	(from http://rs-resume-template.webflow.io/)
18:18:58	17953/17953	---M--	200	added ('OK')	image/png	etag:%22ff0b85b1afef75d9c088d2dca7420f36%22	https://assets.website-files.com/577411fe2de39fb074c865c5/57744ad152306a5a3bee8162_hive-logo.png	C:/My%20Web%20Sites/cv%20portfoli/assets.website-files.com/577411fe2de39fb074c865c5/57744ad152306a5a3bee8162_hive-logo.png	(from http://rs-resume-template.webflow.io/)
18:18:58	22653/22653	---M--	200	added ('OK')	image/png	etag:%229a4269a453ea236fcfa3d3600f719370%22	https://assets.website-files.com/577411fe2de39fb074c865c5/57744ac768c0c2b60e611983_mask-logo.png	C:/My%20Web%20Sites/cv%20portfoli/assets.website-files.com/577411fe2de39fb074c865c5/57744ac768c0c2b60e611983_mask-logo.png	(from http://rs-resume-template.webflow.io/)
18:18:58	8866/8866	---M--	200	added ('OK')	image/png	etag:%22e3bcd891661f62caa87c37d02dce71e1%22	https://assets.website-files.com/577411fe2de39fb074c865c5/57744a2cdee5efd30ed39e0c_logo-3.png	C:/My%20Web%20Sites/cv%20portfoli/assets.website-files.com/577411fe2de39fb074c865c5/57744a2cdee5efd30ed39e0c_logo-3.png	(from http://rs-resume-template.webflow.io/)
